"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","1999","1999",66,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2000","2000",59,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2001","2001",55,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2002","2002",56,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2003","2003",54,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2004","2004",51,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2005","2005",48,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2006","2006",46,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2007","2007",46,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2008","2008",44,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2009","2009",44,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2010","2010",41,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2011","2011",41,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2012","2012",40,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2013","2013",40,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2014","2014",38,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2015","2015",37,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2016","2016",38,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2017","2017",38,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2018","2018",39,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2019","2019",36,,
"IT","Italy","DEATHS","deaths - dx","9","total","Y5-9","5-9 years","2020","2020",33,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1974","1974",64.82,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1975","1975",64.55,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1976","1976",64.66,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1977","1977",64.976,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1978","1978",65.271,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1979","1979",65.407,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1980","1980",65.261,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1981","1981",65.776,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1982","1982",65.858,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1983","1983",65.691,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1984","1984",66.298,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1985","1985",66.315,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1986","1986",66.596,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1987","1987",66.959,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1988","1988",67.182,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1989","1989",67.512,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1990","1990",67.57,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1991","1991",67.773,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1992","1992",67.987,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1993","1993",68.095,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1994","1994",68.294,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1995","1995",68.573,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1996","1996",68.761,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1997","1997",68.945,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1998","1998",69.035,,
